목표 재련수치,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
운명의 파편 (경험치),12000,12000,13000,19000,22000,25000,29000,39000,45000,51000,63000,72000,81000,91000,102000,114000
운명의 수호석,690,750,780,840,930,1020,1170,1320,1470,1620,1770,1920,2220,2400,2520,2700
운명의 돌파석,11,11,13,14,16,18,20,22,23,25,27,29,31,34,36,40
아비도스 융화 재료,6,7,7,9,9,11,11,15,15,15,21,21,21,21,30,30
운명의 파편,2820,3000,3180,4560,4920,5280,5640,7200,7740,8220,9600,10260,10920,11520,12240,12900
골드,880,970,1070,1190,1320,1460,1600,1760,1930,2110,2300,2500,2710,2920,3150,3390
실링,33000,33000,33000,33000,33000,33000,33000,39000,39000,39000,54000,54000,72000,72000,90000,90000
빙하의 숨결,20,20,20,20,20,20,20,20,20,20,25,25,25,25,50,50
재봉술 : 업화 [11-14],,1,1,1,1,,,,,,,,,,,
재봉술 : 업화 [15-18],,,,,,1,1,1,1,,,,,,,
재봉술 : 업화 [19-20],,,,,,,,,,1,1,,,,,
,,,,,,,,,,,,,,,,
기본 성공률,15,10,10,5,5,4,4,3,3,3,1.5,1.5,1,1,0.5,0.5
