카테고리,구성품1,0단계,1단계,2단계,3단계,4단계,5단계,6단계,7단계,8단계,9단계,10단계
기본 보상 상자,운명의 파편,3250,4000,5000,5750,6500,7500,8000,9000,9750,10500,11250
기본 보상 상자,운명의 파괴석,55,70,90,100,110,125,140,155,165,180,195
기본 보상 상자,운명의 수호석,375,500,600,700,800,900,975,1075,1175,1275,1375
기본 보상 상자,운명의 돌파석,5,8,10,12,15,17,20,22,25,27,30
어빌리티 스톤,어빌리티 스톤 키트,4,6,8,10,15,20,30,40,60,80,120
파괴석/수호석,운명의 파괴석,1000,1500,2000,2500,3500,5000,7500,10000,15000,20000,35000
파괴석/수호석,운명의 수호석,3000,4500,6000,7500,10500,15000,22500,30000,45000,60000,105000
운명의 돌파석,운명의 돌파석,45,70,90,120,180,240,350,480,650,950,1600
운명의 파편,운명의 파편,8000,12000,16000,20000,30000,40000,60000,80000,108000,160000,260000
특수 재련,순환 돌파석,40,70,100,130,180,240,360,480,650,960,1600
유물 팔찌,유물 팔찌,1,2,3,4,5,7,12,15,20,30,40
재련 보조,용암의 숨결,6,9,12,15,22,30,45,58,80,120,190
재련 보조,빙하의 숨결,18,27,36,45,66,90,135,174,240,360,570
융화 재료,아비도스 융화 재료,40,60,90,120,150,200,300,400,600,800,1400
귀속 골드,귀속 골드,3200,4800,6400,8000,12000,16000,24000,32000,44000,64000,96000
혼돈의 돌,정련된 혼돈의 돌(무기),7,10,15,20,27,36,54,72,100,144,250
혼돈의 돌,정련된 혼돈의 돌(방어구),7,10,15,20,27,36,54,72,100,144,250
상급재련 보조,상급재련 보조 선택 상자,1,2,3,4,5,7,9,12,15,20,30
