카테고리,구성품1,0단계,1단계,2단계,3단계,4단계,5단계,6단계,7단계,8단계,9단계,10단계
기본 보상 상자,운명의 파편,4500,5500,6500,7500,8750,10000,11000,12000,13000,14000,15000
기본 보상 상자,운명의 파괴석,100,120,145,170,190,215,235,260,280,300,350
기본 보상 상자,운명의 수호석,625,800,950,1125,1300,1450,1600,1750,1900,2100,2250
기본 보상 상자,운명의 돌파석,13,15,17,20,22,25,27,30,32,35,40
어빌리티 스톤,어빌리티 스톤 키트,6,8,10,12,18,24,36,48,60,90,150
파괴석/수호석,운명의 파괴석,1800,2500,3500,4200,6400,8500,12000,18000,24000,35000,56000
파괴석/수호석,운명의 수호석,5400,7500,10500,12600,19200,25500,36000,54000,72000,105000,168000
운명의 돌파석,운명의 돌파석,70,100,140,180,270,360,540,700,950,1500,2400
특수 재련,순환 돌파석,60,90,130,160,200,320,450,650,850,1250,2100
고대 팔찌,고대 팔찌,2,3,5,7,9,12,18,25,35,50,80
재련 보조,용암의 숨결,8,12,15,20,30,40,60,75,105,155,256
재련 보조,빙하의 숨결,24,36,45,60,90,120,180,225,315,465,768
운명의 돌,정련된 운명의 돌,6,9,12,15,20,30,45,60,80,120,200
융화 재료,아비도스 융화 재료,60,90,125,150,225,300,450,600,850,1200,2000
젬 랜덤,희귀~영웅 젬 랜덤 상자,1,2,3,4,5,6,7,8,9,10,11
귀속 골드,귀속 골드,3500,5500,7500,9000,13500,18000,27000,36000,50000,72000,108000
천상 도전권,,,,,,,2,4,7,10,15,20
