카테고리,구성품1,0단계,1단계,2단계,3단계,4단계,5단계,6단계,7단계,8단계,9단계,10단계
어빌리티 스톤,어빌리티 스톤 키트,20,30,40,50,75,100,150,200,300,400,600
유물 팔찌,유물 팔찌,5,10,15,20,25,35,60,75,100,150,250
혼돈의 돌,정련된 혼돈의 돌(무기),35,50,75,100,135,180,270,360,500,720,1250
혼돈의 돌,정련된 혼돈의 돌(방어구),35,50,75,100,135,180,270,360,500,720,1250
재련 보조,용암의 숨결,30,45,60,75,110,150,225,290,400,600,950
재련 보조,빙하의 숨결,90,135,180,225,330,450,675,870,1200,1800,2850
귀속 골드,귀속 골드,16000,24000,32000,40000,60000,80000,120000,160000,220000,320000,480000
유산 랜덤,낙원 전설~고대 장비,5,10,15,20,25,30,35,45,60,75,150
유산 재료,전설~고대 복원석,5,10,15,20,25,30,35,45,60,75,150
유산 재료,전설~고대 공명석,10,20,30,40,50,60,70,90,120,150,300
귀속 보석,8레벨 보석 (4T),,,,,,,,,1,2,3
상급재련 보조,상급재련 보조 선택 상자,5,10,15,20,25,35,45,60,75,100,150
실링,실링,2000000,4000000,8000000,10000000,12000000,16000000,25000000,30000000,40000000,50000000,100000000
