목표 재련수치,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
아이템 레벨,1725,1730,1735,1740,1745,1750,1755,1760,1765,1770,1775,1780,1785,1790,1795,1800
운명의 파편 (경험치),31000,31000,34000,38000,41000,46000,49000,54000,58000,63000,67000,72000,77000,81000,86000,91000
운명의 수호석 결정,810,890,930,1030,1120,1240,1330,1450,1560,1700,1810,1950,2080,2200,2330,2450
위대한 운명의 돌파석,9,9,11,12,13,14,15,17,18,20,21,23,24,26,27,29
상급 아비도스 융화 재료,9,11,11,12,13,15,16,17,19,20,22,23,25,26,28,30
운명의 파편,8470,9020,9570,10540,11520,12690,13670,14840,16010,17380,18550,19920,21280,22460,23820,25000
골드,1950,2200,2450,2700,2950,3250,3500,3800,4100,4450,4750,5100,5450,5750,6100,6400
실링,13200,13200,13200,13200,13200,13200,13200,15600,15600,15600,21600,21600,28800,28800,36000,36000
빙하의 숨결,20,20,20,20,20,20,20,25,25,25,25,25,25,25,50,50
,,,,,,,,,,,,,,,,
기본 성공률,10,10,5,5,4,4,4,3,3,3,1.5,1.5,1,1,0.5,0.5
